Ratings,Reviews
4,"Love it!! Easy to use, great voice calls, great stickers, only thing is you need to add more shape variety for avatar, say for upside down pear shaped women and truer blonde hair color and maybe headbands or barrettes, but it is a super app. Thanks for making it fun to use!! It is very annoying when you click on an emoji expecting 1 thing and get something completely different,"
1,"It has been extremely buggy for the last few months. The biggest problem lies within the media files. I download an image, try to tap on it to open, it goes back to being an undownloaded image. I tap again, the same. Cannot view the image at all. Image appears multiple times in gallery, but not in WhatsApp. Tapping on it simply redownloads the image. Also, swiping up to see older messages in a conversation teleports you to a random location in the past. Please work on the media fix soon. Thanks."
1,"Good day, I hope you are well. Unfortunately, I have also been experiencing the issues with the text box jumping around and not moving down with the text being typed on the next line (especially when I type emojis) so that I can see what I am typing. When I highlight a previous message, my keybord also doesn't automatically pop up as it usually did...This version is extremely irritating because of this. Could you please fix it as soon as possible? Thank you so very much in advance! Kind regards"
3,"The app works as it should for the most part, you can't really complain about calls and chats. One recent feature update worsened the user experience significantly, however: The new emoji/sticker/etc. organization is frankly horrible and I don't see any reason why the old one should have been changed, as it worked perfectly fine. The new one is clunky and glitchy and simply is not optimized for ease of use. This is especially noticeable with the stickers. Atleast let us choose between displays."
5,"You are rolling out the reactions to messages feature, which is good. Could you please introduce the Double Tap feature too, like in Instagram? It is much needed. Also, it would be great if you keep the ""Disappearing Messages"" customisable for both the parties. One should be able to keep the feature off for themselves while the other one keeps it on for him/her and vice versa. Also the duration for the same should be customisable as per preference"
1,"The latest update is terrible. The way they restructured the stickers, emojis, gifs panel was unnecessary and slows down productivity when typing, also it randomly covers half of the screen, they also moved the delete button from the bottom right to the top right when accessing these features. If it's not broken don't try to fix it! The ability to play a message that comes in as an audio as a drop down notification is much more needed. Worst update ever!"
2,"Sometimes I experience a glitch where I don't see a call history or even evidence of a concluded call. Also I don't like the new pattern of the status update, no search button and the horizontal arrangement is unfavorable. I miss a lot of important statuses, kindly revert back to the vertical arrangement that allows easy selection of which status to view. Plus I don't like the whole space the other channels are taking. when there are other platforms for these. WhatsApp was my safe space."
5,"In my last review, I asked you to add a feature that allows us to send audio to status and you granted it. THANKS A LOT, YOU'RE THE BEST! And the sharescreen feature is ABSOLUTELY AWESOME. Now I have another cool idea: what if you add a new feature called Close Friends List? That way we can choose who to share our statuses and profile picture with. This feature will make WhatsApp becomes even more private too, which is cool. I hope you notice this. Thanks in advance."
3,"What's exactly the use of this new update that introduces channels and a new interface for status? Are you trying to copy Telegram? Please, it is not worth it! Kindly revert to your former unique style. That's what we love. Every platform has its own uniqueness. Don't lose yours while searching for another outside. This is what makes you original. You may lose followers/users if you fail to listen to these grumblings of ours here. Return the search button on Status and others. Thank you. 🥂🙏"
1,"The updates should be called downgrades. Once I'm off a call, my volume button just doesn't work. I have tried and tested it multiple times. It is extremely frustrating. Furthermore, I cannot remember the last time I had a decent video call. It is NOT my internet as all other apps and the internet works perfectly, just whatsapp is a problem!"
4,"I love using whatsapp, but the recent update really annoys me. I don't like the updates menu UI which makes it harder for me to watch my friend's status. To put it bluntly, I don't like how I need to swipe it left and right to watch it and it looks very small. I hope it'll be changed tho. Maybe two drop-down menus which consisted of status and channels. We need to press it to show the whole status menu like before, so do the channels menu."
4,"An excellent app for communication. Makes communication much cheaper than phoning direct. As an improvement, I think having a function in the app, that makes it able to read out aloud messages would be a great. Many times I find myself demotivated when I have to read long messages on the small screen of my mobile phone, or when I want to direct my attention to other things at the same time"
1,"I have been using WhatsApp for years and gone through all kinds of updates, some more welcomed than others. This last one is a complete mess. The rearrangement of the emoji/gif/stickers tray make it extremely difficult to use, specially the stickers. Also, I don't need the channels. I have enough in IG and FB. Why taking ⅔ of the screen in something I don't want? Put them in another tab. I want to be able to see my friend's status like before!"
1,"It used to be a good app. It has been long since it turned into a trash. It's my habit to delete the chat while the media, if I need it, I keep it. Now, too many times I lost all the media while deleting the chat and not ticking the ""delete Media also"" or sometimes deleting the media only while not ticking on the ""delete from media"" and yet I find nothing in my gallery. Finally, I found the motivation, even though ignoring it way many times, to give good rating to the app. Keep it up."
2,"The app itself is pretty stable and you can rely on the messages to arrive. This, of course, is also provided by other messaging apps. When it comes to messaging, I get pretty annoyed when I try to use emojis or gifs. This menu seems to be related to the iOS design - and it doesn't work well on Android (especially if you use gestures for system navigation). Additionally, the backup and recovery process is horrible. Moving to another phone, there's bound to be trouble with WhatsApp."
5,"Soo for a few months now, the call history on WhatsApp has been incorrect. A person calls you, and it takes hours for the call log to be updated, or you see it two hours later, and it's showing you that the call happened. ""Just now,"" Also ,status pictures are blurrrryyyyyy, not cute, I could swear I had seen a feature where you can share pictures in ""Hd"" if you chose, but I haven't seen it in a bit, I guess they took it out after the beta testing but it is a great feature"
5,"July 24, 2023 I like the app, overall. I did notice, however, in the latest update when using emojis, it causes the text input box to jump to the top of the screen, making the interface really awkward and sometimes frustrating to use. I'd also like to see an option to mute a video call. For example if you're chatting on a video call on loud speaker and suddenly need to mute the conversation temporarily. 84 people found this review helpful Did you find this helpful?"
4,"I love this app and frequently use it as my main way of contacting friends and family. I like the fact that there are many different ways you can say what you want, whether through photos, voice messages, stickers, gifs, emojis, your status or just directly through a message. I also use the poll feature a lot, especially when trying to organize something with friends, and I want to see who can come or not. My only request/issue is that you can't edit messages after they have been sent."
4,"Great app for messaging and video chats and communication! The only issue now though is that there seems to be a slight app malfunction as far as the Bluetooth function for earpieces is involved. Two times now, the Bluetooth has spontaneously disconnected and I was not able to reconnect it while I was on a call. It could be that it's my own earpiece hardware, but I figured it would be worth mentioning anyway."
1,"Im so upset. From nowhere my app just crashed because it had a bug. Moments later it gave me an option to restore messages only to realize that I've lost messages from last week. Apparently my app hasn't been backing up messages for 8 days. I thought local backups where supposed to occur automatically! I won't even talk about how it compresses images to a bad quality. Update, my Whatsapp crashes multiple times. I'm so tired of losing important messages!"
5,"In fact, I like the application, but there are several features that I think are not quite right, such as the feature for deleting messages but still being notified that the message has been deleted, or the text editing feature but still being if the text has been edited and so on. So, maybe you can think more about the features for future development innovation 🙏🏻"
4,"Most infuriating thing you've ever implemented to this app has been merging the voice recording button with video recording. It constantly switches when I don't mean to ""double click"" it and I absolutely hate it. We already had a recording feature. We didn't need a selfie recording merged with another button we constantly use. Infuriating and dumb! At LEAST allow us to remove this feature in settings please! Choose ""voice recording, video recording or both""."
1,"This messenger has some limitations that can be frustrating. For instance, the inability to log in while roaming due to SMS restrictions can be inconvenient. Additionally, migrating chat history between platforms and adjusting to the user interface might require some effort. While there are aspects that could be improved for a smoother experience, there's also a strong sense of disappointment with the current state of the app."
1,"Last update sucks. You screwed up Status, no I can't view my status in a list all at once or share them which would have allowed me to repost on my on status again without having to do other annoying steps like screenshot. Look, it is simple, remove the features that allow people to view one status in private (that is stalking) and two, allow Status to be either saved or pin. Simple. And Whatsapp channels should be optional."
2,"There's a bug with emoticons in the app since it changed two versions ago (I guess). When typing some text, if you start to insert emoticons there is no scroll down in the text line. And after sending the message, the messages do not scroll down. That is, the current message is not displayed, as well as the incoming ones after the sent message"
3,"Hi everyone. I think I have found a bug probably. I do not get message notifications anymore. The function, to turn it on, is.not available because my android system is outdated. Well, my android is up to date. There must be an other reason. I guess, or I hope, I am.not the only one with this issue and you are going to fix it. Thanks in advance!"
4,"I like WhatsApp, it's among the top instant messaging apps available. I have a suggestion for the next update: please consider adding a 'recycle bin' feature. This would prevent chats, voice notes, or other media from being permanently lost due to accidental deletions. For instance, my tutor recently lost over an hour's worth of lecture due to an unintentional tap on the delete button. Consider this suggestion please. EDIT: Users should be able to upload any recorded audio to their status🤷"
1,"You are rolling out the reaction to message, feature which is good. Could you please introduce the double tap feature too, like in Instagram? It is much needed. Also,it would we great if you keep the ""disappearing message"" Customisable for both the parties. One should be able to keep the feature off for themselves while the other on keeps it on for him/her and vice versa. Also the Duration fro the some should be customisable ise per preference"
2,"generally love this app, my only form of messaging! however, since the last update the emoji and gifs have been ruined. emoji tray is a nightmare and if you search a gif, it just shows you the ones that were there at the beginning when you try and click a search result .. then it freezes and you can't do anything! please fix this!! the emoji/gif layout was perfect before this .. better with the options at the bottom too!"
3,"I use this app for a lot of long distance video calls. Unfortunately, the quality of calls is very poor. For the past 10 days or so, this app has frozen within 5 to 10 seconds of making a call: only way to rectify this, is to cut call and dial it again. It will still freeze on subsequent calls and trying to speak to someone on a video which always freezes is completely frustrating. 03.0.23 In an average 50 minute call, WhatsApp is still freezing at least every 3 minutes for 2 to 3 seconds"
1,"I'm definitely not happy with the new updates. There's absolutely no need for channels or whatever (at least give us an option if we'd want to see those or not ). We already have enough of those on IG and FB. In addition to that, the horizontal arrangement of the status/statuses feels and looks weird. The vertical arrangement made WhatsApp different from other apps. Great app, not happy with updates though !"
1,"The new emoji picker interface is horrible. It makes everything worse than before, the worst being the vertical drawer slide animation which totally breaks the flow when typing. Who the hell did think that this could be a good idea? This has to be the most unergonomic and unpractical thing you could ever do, and you did it. Bravo! Now please revert back! Nobody asked for this. Don't fix what doesn't need to be fixed."
2,"I installed the app and was able to download backup and export chats from previous phone. However, now I cannot open the app. Whenever I tap on the app, the loading screen comes up for half a second before it takes me back to the apps menu screen. Have tried restarting and updating software, but nothing has worked. Please help, thanks."
5,"""WhatsApp is the ultimate messaging app! It's fast, secure, and the voice and video call quality is top-notch. A true essential for staying connected with loved ones."" ""WhatsApp is a lifesaver for global communication. It's intuitive, reliable, and its end-to-end encryption ensures my privacy. Simply the best messaging app out there!"" ""WhatsApp is the gold standard of messaging apps. With its constant updates and features like disappearing messages, it continues to impress. I couldn't imagine"
3,"The new keyboard design for stickers, emojis and gif is worse in term of user experience compared to the previous version. When using the search functionality, the focus stays on the text message and not the search bar, which does not make any sense. Please make heavier tests before applying those big changes instead of just giving the users a feeling of evolution. I personally don't see it as a progression."
5,"What I like about WhatsApp is that it changed so much from its release. I remember the times when you could only use the app for messaging and phone calls. Now - along with other features like status and stuff - you can do a lot more. I find especially helpful the abilities to react to and edit a message. Not to mention the choice not to use ads. I mean after you see ads literally everywhere and in every app, you want at least to message people in peace."
4,"The app is very helpful. I can chat with my friends and all messages are encrypted. But, I've been trying to update to the latest version and it's not working.. Oh wait, guess I had to clear up some cache from my storage, silly me :)But overall, it's very safe and easily accessible."
4,"Really good app, you can chat, call and more with friends, family members and even send yourself an message. After having this app for so long there not much to say. But it would be cool if you could change the colours of the app, like not only light and dark mode but also like colours of green, blue, red, yellow, pink and more. So I rlly like it but I wish you could just do more decorations and stuff."
2,"I enjoyed using the application until its recent update. Specifically, the Channel addition. This robs us of a simple and peaceful messaging app that allows us to interact with close friends. I honestly can't figure out why the channel feature was added, and I hope it's removed ASAP. There are numerous distracting and disorganised apps, and WhatsApp is gradually becoming one of them. I'll rather use other apps to follow people or events I am interested in rather than lose my privacy."
5,"I don't know why you did, but these changes have negatively affected the user experience. We can't search for statuses, can't view all statuses at once to select and delete. I also don't like the arrangement of emojis and stickers, but that's something one can get used to. Still consider breaking a video to several 30 seconds parts to make uploading videos on statuses/updates easier"
2,"Recently, I have been facing so many bugs and issues. This new feature of sending quick videos in the same button as the audio makes the experience so annoying. It simply switches to video instead of recording an audio. There is also a problem when a new line is created (while typing), sometimes, the line does not move down, so I can not read the last line. I have been a user since 2015. This is the first time I have had so many bugs at once."
2,"I just updated to the latest version and it's the worst update ever. I do multiple statuses per day and enjoyed glancing at the number of views all at once. Now that is no more; I have to go to the status itself to see the views. Also, I can't click on a specific status post as before which makes it difficult to share to other platforms. So frustrating and I wish you didn't touch the status part of the app. Make a quick update before I lose it. Frustrated user!"
1,"Please, if you are thinking of leaving the status you just changed to update there, add a ""SEARCH"" feature. I have many people's statuses, but I want to view just a particular one, do I have to scroll down for that person? Add a search button on the Update page. I know that you might be thinking that why can't I search for the person on my chat page and view the status from there. Well, the processes users takes to complete their goals are different."
2,We don't need channels in the new update. Let us send pictures and videos with the quality a as they come. At least give us the option to choose. The pictures and video quality are really bad after its been sent and it's really annoying. Fix this issue before adding other things.
4,Damb it took a while but WhatsApp's finally here for wear os. Everything's good and all except the photos. We can't see the photos properly. So can you guys add a full screen mode to view photos properly. Also in good quality. That'd be much appreciated. The syncing time is also quite long. Lowering it would also be a great improvement.
2,"I have seen the official's argument misleadingly claiming about privacy. Facebook ruins everything it touches. 2. i am frustrated with the inability to delete messages after their set time expires. 3. the images i want to attach takes a very long, very very long time to loadwas so easy to slide between tabs with left or right swipe. I had been using that feature for years and when you change the top tab to bottom and r previews to select the folder to look in to, to attach an image."
2,"WhatsApp was doing beautiful until the recent update. Channels are an unnecessary addition, and the fact that we cannot search for status updates is just torturous. Taking away the option to view status updates in list mode is just stressful. I feel WhatsApp is focusing on the wrong things. I think it would be better to focus on improving status update quality for voice, video, and images. Also, allowing people post full videos would be really cool, and adding more colours to the status texts."
5,"It's nice, if I could add a feature I'd probably add a screen share feature while videocalling. Edit: There's a screen share feature now but you can't hear the audio coming from their device, you can only hear their microphone as usual. It's still a great addition nonetheless :) Also the videocall on laptop is very clunky, when I pick up on laptop the ringtone keeps going and the audio doesn't work on both sides"
3,"I think the best part of any app is the customizability of the app, and WhatsApp is popular because of all the features it has. Moving forward I'd like to be able to edit my settings whether or not it should show redundant messages like; forwarded, edited deleted or at least make it collapsible over time just to make chats neater. Thank you."
2,"Whatsapp's been great on phones. But on PC, the older version where you need to have your phone to be online, is way better and more reliable. The new version has the new UI and all, but it's been a downgrade in a user experience perspective from time to time. No audio when sending video, crashing, slow performance even on a good hardware (8 Core 16 Thread CPU, 16GB of RAM). Edit: Please, stop making pointless UI changes. The new animation when opening the emoticon menu is pointless and slugish."
5,"I really rated this app because I could message in different languages. A real bonus when travelling abroad.There was an option which translated as I typed. However, I've just got a new phone, transferred all my stuff but WhatsApp doesn't transfer my chat history, has lost some contacts and hasn't got a translate option. I'm off to France , now, in tears! So, a year on and we've both got better. I've managed to save my chat history as text documents and the translate option works well."
1,"The app is getting worse. Before the updates, this was my favourite messaging app. It was easy to use and efficient. Now, it has become annoying. I hate the channels tab and the layout for the emoji, gif and sticker section makes it hard to navigate compared to before. It's also laggy. Another issue i have is with the statuses. Now i have go through each of my post to delete it. So much hassle. Not sure why the app's quality decreases with every update instead of getting better."
3,"The new emoji tray is just horrible. It clashes with gesture controls and i keep minimizing whatsapp trying to grip the tray, it just adds steps to the process, the emoji search function layout is different from the gif search layout and takes you out of the new layout. Its all a mess. Either revert back or make the tray to be already expanded when you tap on the emoji button on the message bar. Edit: seems to be better now. Not sure if it was a bug or an update got installed."
3,"The bugs have been progressively increasing for the past one year. There is a weird bug while scrolling up the chats whereby it scrolls up to 2 or 3 days earlier instead of the recent chats. I suggest you prioritise squashing your bugs rather than providing new features. The app is getting less stable by the day. The community feature you introduced wasn't necessary, in my opinion. Status has become less stable recently."
1,"New features keep getting implemented without the users' input. ""Communities"" was first. I don't have any use for it so it just stays blank. But at least it is its own separate tab. Then there's ""Channels."" I do not want Telegram or Instagram on my phone, and Channels is just that. Worse is, you can't even disable it, it looks ugly and intrusive. It even interferes with the 3 dot menu on what used to be the ""Status"" tab. All I'm asking for is for a way to disable or hide it completely."
1,"The Missing Piece of WhatsApp Puzzle! I have always appreciated its simplicity and reliability. However, there was always one feature that seemed to be missing - the ability to schedule messages. 🕒🚀 Whether it's a reminder, a birthday greeting, or even a work-related message, WhatsApp's schedule feature has to develop because it is effortless to stay organized and maintain better communication with contacts. ⌛📝💬 Kindly do update 🙏 it ASAP."
1,"Update 30 Aug 2023: After working successfully for some time this same issue has started again. For over a week now chat backup stalls at 99% & will not complete. Cancelling to restart the backup adds an extra 25+MB to the file each time, so it takes longer & longer to get to that 99% point, only to stall yet again. ""Support"" is a joke. Its just an utterly useless chatbot. Going downhill rapidly. The app will not back up at all recently, so if anything happens to my phone I'm screwed."
3,I am very uncomfortable with allowing access to my contacts.. Mini of them are very proprietary to my business. NR phone number that cannot be shared with others. I find it annoying that it keeps asking the same question over and over. I will contact people when I feel. It is appropriate and I do not want blanket messages sent to my very large contacts list. Video of these people are very senior professionals in academia business end government.
5,"Best app. Thank for making communication easy and cheaper than before. One thing I would like though, is for you to allow sharing of anything (text, documents, media. Current you can only share documents and media. Text has to be copied and pasted into the app where you need to send it. But otherwise it's perfect. Kudos on the offline use.👍🏿💯💯💯"
1,Unfortunately the latest update/upgrade has more annoyances than anything else. The attachment screen is weird and the size doesn't work well on a phone at all. The video/voice button is a disaster to say the least. It glitches and doesn't work. More often than not I have to close the app a few times coz the vn is running but not the recording so the app just hangs. Appreciate all the work you guys put it but the last batch isn't great. Please have the team relook the updates. Stay blessed.
1,"it was working properly and fine up until the last july update. now they forced me to update and it sucks, the new status features don't work properly and i cant select multiple status of mine to delete/copy, which was a big thing for me since i tend to write a lot of creative ideas on there. and the channels aren't even helpful, just busy the screen too much. supposed to be a social texting app and it tries to be something else that's not."
4,"I think the best part of any app is the customizability of the app, and WhatsApp is popular because of all the features it has. Moving forward I'd like to be able to edit my settings whether or not it should show redundant messages like; forwarded, edited deleted or at least make it collapsible over time just to make chats neater. Thank you."
4,"Great app, but I still think WhatsApp could fix the status sending. It would be nice if someone could set up something that will make it possible for the viewers to only see the status once. Bc sometimes it would definitely feel better if I know the viewers can't share or show the status I sent to other people without my permission. They would have to ask for permission to open the status and view it again. And I think it would be nice if we could ad music to videos, like on status or in a chat."
3,"App's working fine but the new sticker sorting sucks. When I want to use a favorite sticker, they start loading since THE FIRST sticker that I added and I hate A LOT of them. Before the update this didn't happen. Please, fix it so it can be as comfortable as it was before. Ah. An please fix that bug which when you're going up the conversarion it goes up a lot. It is disgusting."
4,"Pretty good and fast messaging app. I want to suggest a very cool update for video calls. It will help if users are able to type chats or send messages that appear on the video screen while the video call is still ongoing, to help solve the sound problems that normally occur during such calls."
5,Despite of the privacy controversy. It is still a very reliable messaging app. The app is stable with End-to-End encryption feature enabled by default. Its new PIN lock feature is great. It also has chat backup via Google Drive. Calls sounds clear and media shares are fast without sacrificing too much on quality. The app is easy to use. However sometimes notifications and calls tend to not show when device is on lock. It will be nice if the PIN lock is implemented before accessing the app
1,"Hi team, While doing video call screen auto rotation creating a bad experience. It's not really a good feature. The earlier one is the better one. Please roll back the changes that you have made for screen auto rotation feature for video calling. To reproduce the issue inhouse try to rotate your phone during video call and you will notice that the screen is getting cropped (not full screen view) which is really unwanted and irritating. Looking forward for the upcoming update with the roll back."
1,"It is a really good app, except after the update both on the handphone and the desktop, I cannot connect to whatsapp on the desktop (whether using phone's network or Wi-fi). Please help. Thank you Edit: After the latest update, whatsapp keeps crashing with error every time I try to open the chat room. Please help as it is quite annoying. Thank you"
3,"Good. Other than the buggy notifications. If I received a nessage on Android app, a notificayion appears on the lockscreen. If I then immediately read it on PC app, notification will disappear on Android, which is correct. But if the notification has been there for more than a few minutes, reading the message on PC will not make notification on Android go away. Very annoying!"
1,"For the longest time I've not been able to send videos on my whatsapp stories. All I get is ""can't send this video, choose a different video and try again."" and no, there's nothing wrong with the file. I have compressed, Changed file format, cleared cache...Even Uninstalled and reinstalled the app, yet nothing. Photos work perfectly, but I can't send videos at all. This is just so terrible. Even videos I make on my phone by myself don't upload. This is very annoying and you guys should fix up."
3,"Since the latest update, searching for stickers became quite difficult than before. When clicking another sticker pack, I would have to wait until the auto-scrolling's done instead of instantly being directed to the pack like before. Also, it takes quite a while for the stickers to load once selected. Another issue is the sections - Chats, Status, Communities and Calls - being at the bottom. I'd prefer if they stayed at the top as I keep mistakenly clicking them instead of the chats."
4,"The new version of Whatsapp is not very good because the options for call, status, etc, are now present below. The real problem is that the screen area is smaller than before, and if we have to find our relatives' contacts,we scroll like anything, and even it is taking more and not looking good. You are understanding the point, right? Your regular user"
3,"Overall good app, does it's purpose quite well. The only thing I absolutely hate about it is the new emoji and sticker format. It takes more time to load the emojis and it's just too many at one place. When they were split up into categories and you couldn't scroll through every single emoji it wasn't as overwhelming and confusing as it is now. (emojis also take longer to load now) The old one was better and I wish you would have kept it that way, not everything needs to be improved."
1,"The new sticker tray is incredibly hard to use if you have a lot of sticker packs. Making you scroll through hundreds of stickers to reach the pack you want is simply bad UX. Add to that the weird decision to have an aesthetic delay when switching from keyboard to the emote menu, something that's just downright annoying. Nobody is gonna think that that powerpoint slide transition is good, people will just wonder why they have to wait for it to be finished instead of it going seamlessly."
1,"Amazing app, so very useful for communication, but they just killed it adding the ""Channels"" service. Won't let me opt out either. Just when I thought I could text my friends and keep in touch with them without being distracted by a barrage of other media. WhatsApp, let us opt out of Channels. Please!"
2,"Over all functioning is brilliant but lately, there has been a issue in my whatsapp. I can't send voice messages. Like it's recording and all but when I tap 'send', it sends but there is no voice in it.... It's like a muted voice message. I told people about it they suggested to check if whatsapp has the permission to microphone, it has, they told me to update the whatsapp, i did but no improvement, they said maybe my phone is muted or some other problem, I checked it all. Please fix it soon.."
4,"This app is actually very good, but there're a couple things that are missing from it, it needs an auto-cut feature for statuses, like if I have a video longer than 30 seconds, it should automatically cut it into another status, or make the status time longer, same thing with videos sent in chat, I have videos longer than 3 minutes that I need to share. Also one more thing, I have updated whatsapp but it wont give me the new updates feature, why's that (it also crashes sometimes)"
3,"New keyboard animation is a nightmare! I'm sure some UX designer thought it would be really cool to have a nice animation when switching between the emoji and text keyboards but did anyone actually test this on a device to try and write a message?! It is so slow, it interrupts your flow when you're trying to write a message, and is driving me nuts! How annoying having to sit and watch the keyboard slide down and back up again just to add a smiley, then the whole process again to go back to text."
4,"Since a few months ago, there's been a strange problem! Some messages go to the last, some disappear, and when you search them, the text date is 1998! Many times I have uninstall it and reinstall it, and always I update it! But it's still there! Please do something about that! Otherwise there'll be no way to work with this!"
3,"The update is generally good, but it's not showing the upload progress, particularly when posting a status, you don't know how far the upload has progressed. I posted a status a couple of hours ago, and all it says is ""sending...... "" no option of cancelling the status to upload it afresh like when sending other media on chats. The only option is delete and that's very inconvenient."
1,"After the auto update for whatsapp, i kind of doesn't like when it added the channel because it make my phone too complicated and messier. I hope you can uhm remove the channel thingy.. But the good news is that i really like about the screen sharing on video call cause it make it easier to share something with friends, workers or colleagues. Oh and one more things, with the channel been added to whatsapp, to watch status and delete it, it is to complicated :D.. Thank you i think thats it"
2,"It works for the most part, but the ""transfer chats"" option doesn't work. I tried three times to transfer my chats, but there was a problem each time. I already tried submitting a report,but we all know that's useless. So if you were thinking of changing phones make sure your media is backed up some other way. (I also lost important pictures, videos and voice messages in the process)"
2,"It's very useful but quite a nuisance now and then. Updated review for this update: Emoji and sticker keyboard now unnecessarily difficult to use, would like it back how it used to be. Channels is awful. Just makes everything cluttered and busy. If I wanted to follow celebrities I could do that on every other social media already. And now status updates from my contacts even get hidden, as if they are less important than these channels that I'm being recommended but don't even follow."
4,"Love how the app keeps improving each passing year with new features. But, it would be great if you guys could add the following features in the next update: 1. Private/view once status I know it sounds a bit weird, but it would be nice having this feature. I think it would even be better if you could set a timer of a status before it disappeared. Instead of waiting 24hours, we could set the timer to be 5minutes, 10minutes and so on. 2. Inbuilt text/chat games (a must) eg hangman, chess, cards"
1,"Worst customer support system, which makes app useless. Got locked out for using in-flight wifi. I paid for what's app many years ago. I use it for contact with elderly family and school groups for my kid. Short of getting a new phone number after 15 years, I have no idea what to do. Support services send the same auto-reply over and over. Absolutely terrible. No option to call or escalate for assistance."
3,"For this newest version, i really love how big change is and new features. But one thing i don't really like, the backspace button while choosing emoji/gif/stickers moved on the top, so it's really hard if we want to do fast typing while changing from keyboard (that usually backspace in the bottom) to emoji select that the backspace button on the top. It's making me slower to type & give some emoji. Please put back the backspace button in the bottom again & I'll change it to 5 stars"
3,"It is an app that I use a lot to tell the truth, but there are many things that stress me out, for example sometimes in a group I don't know they send my messages but in a private chat yes, and it has happened to me several times, I also don't like that the quality of many images and videos drops when sending them, or even that it gets too stuck to the point that the messages stop coming, I would like that in a Future these things will change (add the everyone option for a group 🫢), tkns"
1,"WhatsApp's backup systems are severely lacking. When transitioning from an Android device to iOS, and even in certain instances on Android itself, all of your chats and media are lost. It is imperative to establish a system where data backup is not just an option but an absolute necessity for users. It is incredibly distressing and frustrating to lose a crucial chat after switching devices. In contrast, Telegram offers the convenience of unrestricted usage and eliminates the burden of restoring"
2,"Hai , Recently i installed WhatsApp. I have find some bugs. the bugs like i don't send voice message. After send voice message. i don't hear my voice message. because it's look comes like recording, recording, recording. I hate this and I have try lots of time uninstall and install. but this problem have comes. please help and solve this problem."
2,"No problems with the app whatsoever, except that I'd like to have separate subfolders in WhatsApp Images, etc for every chat I have, so I don't have to back up the entire WhatsApp images folder Also can we somehow make the local backup take place in the background please? I hate not being able to use my phone while it's backing up."
1,"One of the most used chat app within my friends. However, the last updates worsened the chat experience by introducing useless animation in the keyboard. The switch between normal keyboard and emoji keyboard now has a sliding animation that takes about 1 second. It is extremely annoying. That animation is useless. I expect that none was asking for it. When I want to write a message in a chat, I want to do it quickly, without fancy sliding keyboards."
